task,seed,outer_fold,condition,condition_name,alignment_matched,alignment_cross_task,alignment_shuffled,alignment_random
working_memory,8,4,R3,Full PALF,,,,
working_memory,9,0,R3,Full PALF,,,,
working_memory,9,1,R3,Full PALF,,,,
working_memory,9,2,R3,Full PALF,,,,
working_memory,9,3,R3,Full PALF,,,,
working_memory,9,4,R3,Full PALF,,,,
fluid_intelligence,0,0,R0,Same-solver no prior,,,,
fluid_intelligence,0,1,R0,Same-solver no prior,,,,
fluid_intelligence,0,2,R0,Same-solver no prior,,,,
fluid_intelligence,0,3,R0,Same-solver no prior,,,,
fluid_intelligence,0,4,R0,Same-solver no prior,,,,
fluid_intelligence,1,0,R0,Same-solver no prior,,,,
fluid_intelligence,1,1,R0,Same-solver no prior,,,,
fluid_intelligence,1,2,R0,Same-solver no prior,,,,
fluid_intelligence,1,3,R0,Same-solver no prior,,,,
fluid_intelligence,1,4,R0,Same-solver no prior,,,,
fluid_intelligence,2,0,R0,Same-solver no prior,,,,
fluid_intelligence,2,1,R0,Same-solver no prior,,,,
fluid_intelligence,2,2,R0,Same-solver no prior,,,,
fluid_intelligence,2,3,R0,Same-solver no prior,,,,
fluid_intelligence,2,4,R0,Same-solver no prior,,,,
fluid_intelligence,3,0,R0,Same-solver no prior,,,,
fluid_intelligence,3,1,R0,Same-solver no prior,,,,
fluid_intelligence,3,2,R0,Same-solver no prior,,,,
fluid_intelligence,3,3,R0,Same-solver no prior,,,,
fluid_intelligence,3,4,R0,Same-solver no prior,,,,
fluid_intelligence,4,0,R0,Same-solver no prior,,,,
fluid_intelligence,4,1,R0,Same-solver no prior,,,,
fluid_intelligence,4,2,R0,Same-solver no prior,,,,
fluid_intelligence,4,3,R0,Same-solver no prior,,,,
fluid_intelligence,4,4,R0,Same-solver no prior,,,,
fluid_intelligence,5,0,R0,Same-solver no prior,,,,
fluid_intelligence,5,1,R0,Same-solver no prior,,,,
fluid_intelligence,5,2,R0,Same-solver no prior,,,,
fluid_intelligence,5,3,R0,Same-solver no prior,,,,
fluid_intelligence,5,4,R0,Same-solver no prior,,,,
fluid_intelligence,6,0,R0,Same-solver no prior,,,,
fluid_intelligence,6,1,R0,Same-solver no prior,,,,
fluid_intelligence,6,2,R0,Same-solver no prior,,,,
fluid_intelligence,6,3,R0,Same-solver no prior,,,,
fluid_intelligence,6,4,R0,Same-solver no prior,,,,
fluid_intelligence,7,0,R0,Same-solver no prior,,,,
fluid_intelligence,7,1,R0,Same-solver no prior,,,,
fluid_intelligence,7,2,R0,Same-solver no prior,,,,
fluid_intelligence,7,3,R0,Same-solver no prior,,,,
fluid_intelligence,7,4,R0,Same-solver no prior,,,,
fluid_intelligence,8,0,R0,Same-solver no prior,,,,
fluid_intelligence,8,1,R0,Same-solver no prior,,,,
fluid_intelligence,8,2,R0,Same-solver no prior,,,,
fluid_intelligence,8,3,R0,Same-solver no prior,,,,
fluid_intelligence,8,4,R0,Same-solver no prior,,,,
fluid_intelligence,9,0,R0,Same-solver no prior,,,,
fluid_intelligence,9,1,R0,Same-solver no prior,,,,
fluid_intelligence,9,2,R0,Same-solver no prior,,,,
fluid_intelligence,9,3,R0,Same-solver no prior,,,,
fluid_intelligence,9,4,R0,Same-solver no prior,,,,
fluid_intelligence,0,0,R1,Anisotropy only,,,,
fluid_intelligence,0,1,R1,Anisotropy only,,,,
fluid_intelligence,0,2,R1,Anisotropy only,,,,
fluid_intelligence,0,3,R1,Anisotropy only,,,,
fluid_intelligence,0,4,R1,Anisotropy only,,,,
fluid_intelligence,1,0,R1,Anisotropy only,,,,
fluid_intelligence,1,1,R1,Anisotropy only,,,,
fluid_intelligence,1,2,R1,Anisotropy only,,,,
fluid_intelligence,1,3,R1,Anisotropy only,,,,
