task,seed,outer_fold,condition,w_FC,w_SC
working_memory,7,3,R2,0.5,0.45
working_memory,7,4,R2,0.5,0.25
working_memory,8,0,R2,0.5,0.45
working_memory,8,1,R2,0.5,0.15
working_memory,8,2,R2,0.5,0.4
working_memory,8,3,R2,0.5,0.0
working_memory,8,4,R2,0.5,0.4
working_memory,9,0,R2,0.5,0.0
working_memory,9,1,R2,0.5,0.45
working_memory,9,2,R2,0.5,0.25
working_memory,9,3,R2,0.5,0.1
working_memory,9,4,R2,0.5,0.8
working_memory,0,0,R3,0.5,0.3
working_memory,0,1,R3,0.5,0.15
working_memory,0,2,R3,0.5,0.4
working_memory,0,3,R3,0.5,0.4
working_memory,0,4,R3,0.5,0.25
working_memory,1,0,R3,0.5,0.5
working_memory,1,1,R3,0.5,0.4
working_memory,1,2,R3,0.5,0.55
working_memory,1,3,R3,0.5,0.2
working_memory,1,4,R3,0.5,0.4
working_memory,2,0,R3,0.5,0.15
working_memory,2,1,R3,0.5,0.25
working_memory,2,2,R3,0.5,0.2
working_memory,2,3,R3,0.5,0.25
working_memory,2,4,R3,0.5,0.55
working_memory,3,0,R3,0.5,0.55
working_memory,3,1,R3,0.5,0.4
working_memory,3,2,R3,0.5,0.4
working_memory,3,3,R3,0.5,0.0
working_memory,3,4,R3,0.5,0.3
working_memory,4,0,R3,0.5,0.4
working_memory,4,1,R3,0.5,0.15
working_memory,4,2,R3,0.5,0.15
working_memory,4,3,R3,0.5,0.3
working_memory,4,4,R3,0.5,0.1
working_memory,5,0,R3,0.5,0.45
working_memory,5,1,R3,0.5,0.45
working_memory,5,2,R3,0.5,0.35
working_memory,5,3,R3,0.5,0.55
working_memory,5,4,R3,0.5,0.05
working_memory,6,0,R3,0.5,0.15
working_memory,6,1,R3,0.5,0.3
working_memory,6,2,R3,0.5,0.1
working_memory,6,3,R3,0.5,0.1
working_memory,6,4,R3,0.5,0.8
working_memory,7,0,R3,0.5,0.0
working_memory,7,1,R3,0.5,0.25
working_memory,7,2,R3,0.5,0.35
working_memory,7,3,R3,0.5,0.45
working_memory,7,4,R3,0.5,0.25
working_memory,8,0,R3,0.5,0.45
working_memory,8,1,R3,0.5,0.15
working_memory,8,2,R3,0.5,0.4
working_memory,8,3,R3,0.5,0.0
working_memory,8,4,R3,0.5,0.4
working_memory,9,0,R3,0.5,0.0
working_memory,9,1,R3,0.5,0.45
working_memory,9,2,R3,0.5,0.25
working_memory,9,3,R3,0.5,0.1
working_memory,9,4,R3,0.5,0.8
